Size;Run;InitBatch;InitInc;UpdatesBatch;UpdatesInc;ChangesOnly
10;0;237700;7834400;2540800;2292000;41800
10;1;201100;1255800;6631100;2052300;79200
10;2;227400;1321900;2136400;1024300;55000
10;3;217500;1415100;3503200;3381600;65600
10;4;213800;1197100;1840800;741800;29900
10;5;123500;761900;1186000;906800;39400
10;6;207300;1374500;2313400;1394600;62400
10;7;134600;791900;1237300;839100;50400
10;8;214700;1283700;3517900;948700;19700
10;9;216700;1071500;1507900;624400;26600
50;0;354300;1915200;7717800;557500;24200
50;1;613300;2689400;4766800;4525400;44700
50;2;508600;2879500;12690800;1935700;73400
50;3;495100;2420900;8566800;1082200;43100
50;4;291000;1575200;8256900;704000;26600
50;5;609200;2333900;8051200;490600;13900
50;6;291400;1805500;8129600;1084600;43500
50;7;302500;2178300;7414400;494200;17600
50;8;491800;1729200;8507700;750400;29100
50;9;281200;1662700;8024500;1024700;49600
100;0;733600;3297900;14681500;966000;41400
100;1;427300;2837200;14812100;2366800;31200
100;2;890400;3144300;21190400;720500;27500
100;3;440500;2536700;14399100;2695600;30300
100;4;872800;4000700;20975200;888000;31200
100;5;998800;3221500;12643200;1383900;72600
100;6;663800;6062900;15455000;874000;39800
100;7;1016100;3090600;13767200;932700;37300
100;8;582100;2432000;13899400;696600;25400
100;9;600200;2921800;15728400;1655300;20500
500;0;3107800;30780700;72050200;688800;29900
500;1;2263700;27727900;76356400;780800;31200
500;2;5174900;28142600;61216300;1027100;38500
500;3;2898800;31573100;61422000;692500;22100
500;4;4684300;29345900;66421200;1018900;55000
500;5;5386700;29207500;64082300;965100;33600
500;6;4403900;29979800;67124900;677800;32800
500;7;2167200;27424500;61964300;826400;28700
500;8;4977000;28886100;104930100;2131900;25000
500;9;5040200;27171600;91612400;10093300;21700
1000;0;11395500;57525400;167801000;904400;31600
1000;1;6983000;66949600;121646000;717200;25000
1000;2;6806400;66006900;155270200;5660600;55400
1000;3;6962800;67354800;161701500;1484500;55800
1000;4;7245700;68405400;147542100;856400;31600
1000;5;7127500;75220900;158979900;1160600;45100
1000;6;9048400;56140700;186409400;1015200;43100
1000;7;8030300;67710700;155189400;1071900;36100
1000;8;7590600;75068100;160872600;980700;36900
1000;9;7032600;67557200;114813200;994300;34400
5000;0;45336700;551884100;1295613000;1217600;35300
5000;1;57158800;615761200;1176728700;1559200;51700
5000;2;49660600;624677900;1169970300;2265800;63200
5000;3;54813800;649647800;1320073000;2273600;51300
5000;4;53472500;654602300;1331144700;1110500;32000
5000;5;57587400;627211800;1188404300;14594100;49200
5000;6;53217200;625536300;1279522000;1668400;54600
5000;7;54134300;625340500;1315241700;1177400;40600
5000;8;54620400;615735300;1154523900;3049900;61500
5000;9;54434800;614346000;1120723100;14825600;63600
10000;0;102900800;1309269500;2441686600;1243500;39400
10000;1;104781900;1337265900;2402935000;8604200;42600
10000;2;103581500;1341622200;2471803600;1741500;58700
10000;3;96770900;1384330700;2414213600;3316400;60300
10000;4;110750900;1394490900;2463242400;1527600;33600
10000;5;95415300;1266058100;2230731300;3369300;71800
10000;6;103118400;1251069800;2219619400;13598900;34000
10000;7;95204300;1267347600;2259780800;1988600;51300
10000;8;105260600;1370060400;2327381200;47802000;88200
10000;9;96770100;1062764900;2231967500;1166300;48000
50000;0;630043700;6178955100;11277200400;5282100;59100
50000;1;522320600;5386497100;10922838000;13031100;213800
50000;2;526664200;5490833700;10956334500;13179800;75500
50000;3;526356300;5395793600;13022401500;8486000;68500
50000;4;516793000;5068288800;11995155100;11753900;146500
50000;5;522043100;4956831300;12320106700;3930900;47600
50000;6;523533400;5364779200;12501007400;12052800;172000
50000;7;520809000;5910058400;11242723400;21285600;158000
50000;8;529107400;5785804600;11156557700;5513200;77100
50000;9;515944000;5498802800;12359933900;7726000;45100
