Size;Run;InitBatch;InitInc;UpdatesBatch;UpdatesInc;ChangesOnly
10;0;2705500;1913900;11401300;4449500;37300
10;1;1565000;19348200;15241500;2562200;28300
10;2;574700;2103200;2529700;1498400;24600
10;3;234800;1911000;2549400;1768200;32000
10;4;289800;2231700;2963700;3643100;43900
10;5;448300;2214400;3154200;1383900;24600
10;6;349700;2156100;2450500;2425100;43100
10;7;430200;3368100;4350900;3999900;26200
10;8;389100;2270700;3321300;1947600;22100
10;9;302500;2179500;1992300;1425800;26200
50;0;884300;7012100;11964500;2806500;43500
50;1;958600;10070300;14134700;1104700;25800
50;2;1078900;10721800;10730800;2540400;41000
50;3;1259100;9950000;11159900;2928800;37300
50;4;1184800;6681200;10615100;2044900;32800
50;5;642500;6855700;10605200;1385100;17600
50;6;876900;7178000;11001400;2166000;31600
50;7;797600;7340900;9960700;1820700;22900
50;8;722100;6406500;11212000;2385600;29900
50;9;928200;7572900;10802300;1125300;27000
100;0;945000;13173200;20924300;2104000;25800
100;1;1524700;15742000;26842000;2382400;33600
100;2;1477500;13716800;21826300;1642100;23800
100;3;1001300;12928900;20586400;2247700;34400
100;4;1034100;12675600;19816300;1636000;28700
100;5;1177400;12894800;25804100;3967500;37300
100;6;1038600;12681400;22325500;2067500;22900
100;7;1582600;13663400;23966100;1735700;23400
100;8;1233200;18110800;24821200;2386900;22900
100;9;985300;12549600;19059200;2752300;26600
500;0;3981400;67574800;125218600;1442200;21300
500;1;7858200;75131400;136150600;1622800;30700
500;2;6232100;63647900;119018100;4557800;37300
500;3;6328500;63986600;115367100;1406900;29100
500;4;7073700;65709700;130233400;571000;27000
500;5;7630400;70254900;130673100;1095700;26600
500;6;6931600;64648000;134623800;2003000;27900
500;7;7392700;72603200;134802800;1632700;31600
500;8;6524000;65814400;134308500;2181600;31600
500;9;7079800;67347800;121437800;2505100;30700
1000;0;8426400;136705300;284029400;3347600;61500
1000;1;11969900;133271900;256181600;307500;17600
1000;2;8713400;142586000;257087200;2495300;27900
1000;3;12314700;134187800;283152900;1772300;34400
1000;4;11561400;139577900;254350900;2063400;33200
1000;5;10845800;128617900;291438100;3057700;39000
1000;6;10949300;132945500;287993700;1214300;26200
1000;7;8452700;137278000;256695200;1705800;37700
1000;8;8230600;137539900;248820000;1149900;29900
1000;9;8024100;137681100;198248400;1000900;25000
5000;0;69745400;898548700;1841132000;2245200;64400
5000;1;75473800;765493200;2131550900;2744500;59900
5000;2;72794500;853770700;2048351400;3081500;53300
5000;3;75968500;805906700;2048349700;29593900;28700
5000;4;94048600;808190900;2005260700;1124400;15612700
5000;5;73023200;742002500;2064702200;3157100;59100
5000;6;73583600;794874400;1946260900;1647900;91100
5000;7;75004100;825213100;2060540500;21003100;52100
5000;8;76511600;808600300;1899589100;1887200;57800
5000;9;73323700;807377700;2020826200;2689400;78000
10000;0;181138400;1636880200;3969790200;1287800;59900
10000;1;178620500;1656207100;3811195700;3223600;45100
10000;2;179155100;1750911800;4110139600;1358500;60700
10000;3;185077200;1650336700;3888485800;3332400;49600
10000;4;188507700;1660208300;4167055000;1981700;62400
10000;5;181080900;1737944600;3761194300;1041100;35300
10000;6;189880200;1808569900;3923645100;2573300;67700
10000;7;189214700;1682777300;4091614400;20029700;100900
10000;8;187202600;1688825500;3920475700;3212100;84900
10000;9;183886200;1623923300;3963890200;2301100;84900
50000;0;1023920500;8463003500;20849865200;1934900;107900
50000;1;1051524500;8839076000;21691963300;3330700;199500
50000;2;919203000;8499363200;22516765900;5292300;282000
50000;3;952177300;8592800500;21735371300;3506000;165400
50000;4;937698600;8526208500;21241271700;3079100;204000
50000;5;945045300;8725170000;22464191200;3482200;80400
50000;6;863250700;8084674500;20578503200;3612400;195000
50000;7;877626800;8541903700;19602386800;4881800;221200
50000;8;860841200;8676172800;19661649300;2778500;207700
50000;9;857789200;8537593000;21001174500;3722000;98900
