Size;Run;Default;Emftvm
10;0;211379393;57658928
10;1;73732683;69307798
10;2;63450109;74914645
10;3;62122810;97853987
10;4;59019071;91431382
10;5;53410578;110763241
10;6;55510947;108444470
10;7;64611958;111348682
10;8;51087706;103409515
10;9;48791924;94974406
50;0;55201801;122763130
50;1;48137921;126339411
50;2;49847438;108293388
50;3;61944217;107848762
50;4;42945730;99185804
50;5;43320557;100867814
50;6;53512398;95509351
50;7;56224477;97285380
50;8;50027669;93292802
50;9;48368240;98070345
100;0;55479331;97794866
100;1;52104222;97531707
100;2;48060735;98567108
100;3;55121334;95370996
100;4;54623748;93317437
100;5;55251475;110063257
100;6;49701698;91203939
100;7;49887675;88712737
100;8;53959071;97271835
100;9;51207995;92412181
500;0;134940380;141025106
500;1;132609290;135450279
500;2;126196537;141743564
500;3;126059827;136882681
500;4;126767614;140372742
500;5;142738318;140966395
500;6;148753250;133976413
500;7;148001125;132581784
500;8;151952646;145136324
500;9;137861836;132559205
1000;0;238234940;219490575
1000;1;222303234;209602128
1000;2;226576624;218265912
1000;3;223226969;207030872
1000;4;225194311;204864827
1000;5;233888888;220418412
1000;6;227028230;206729941
1000;7;229614266;213532712
1000;8;226028132;206423263
1000;9;225073202;205133731
5000;0;1454824997;785611709
5000;1;1393687093;790043571
5000;2;1378931196;793393224
5000;3;1369096537;788366070
5000;4;1366446856;787541691
5000;5;1362166491;776946690
5000;6;1363354621;789646978
5000;7;1378019778;795612233
5000;8;1374560918;797634592
5000;9;1247114262;783465366
10000;0;3379498982;1619368724
10000;1;3174969166;1609978683
10000;2;3101261529;1611040770
10000;3;3089796170;1608797130
10000;4;3158196664;1606063705
10000;5;3085276457;1619985779
10000;6;3182176329;1617204730
10000;7;3073342251;1626620635
10000;8;3713237527;1624100696
10000;9;3111280941;1612945299
50000;0;41419148838;18358062248
50000;1;38886016838;18471533873
50000;2;41446068025;18303750516
50000;3;40640439254;18358370566
50000;4;40945929258;18451710999
50000;5;39880560663;18479614262
50000;6;40514961990;18486791865
50000;7;40298364131;18468035594
50000;8;40525646083;18465204050
50000;9;40319927319;18507394369
