Size;Run;InitBatch;InitInc;UpdatesBatch;UpdatesInc
10;0;221200;2040400;119658500;79890800
10;1;371900;2555200;96223200;89778100
10;2;311100;2313800;93050500;81898800
10;3;274600;2461200;93997300;80498900
10;4;282000;2508000;105274200;96700300
10;5;318900;2766200;86907500;84305500
10;6;500400;3376700;95847600;84892100
10;7;274600;2365500;93197100;84532500
10;8;369000;3531100;92764000;87402200
10;9;383400;2874200;95107800;86786400
50;0;603500;7090900;106724200;90396800
50;1;570200;6636900;103090100;89547300
50;2;569000;6617200;108276900;91299100
50;3;544300;6822400;101167500;85432400
50;4;729900;7100000;100914200;89225900
50;5;704900;7250200;106477500;96382900
50;6;1014800;7337700;103420500;87164900
50;7;672400;7432100;103192700;85209900
50;8;1175300;8132900;99873000;89176200
50;9;1235700;7458800;100037600;93876600
100;0;1116600;13351400;132571900;107535100
100;1;1133500;12855000;116798200;100156700
100;2;1014400;12800000;120709100;105548800
100;3;998000;12829100;118724900;104834500
100;4;967600;12642300;114208500;109927300
100;5;916300;12341000;111723900;98494400
100;6;990600;12660000;114014700;104557400
100;7;975800;12811500;120752600;124988200
100;8;1126900;13145300;124543600;103501000
100;9;1129800;12589800;119925400;103937800
500;0;7186200;66280000;244670600;184901900
500;1;4599700;67166700;226273600;194227900
500;2;7516300;64065100;245218300;182791700
500;3;4550900;61636300;249343100;205644000
500;4;8556200;64019900;257266200;190769400
500;5;7635700;64148800;231745000;188138200
500;6;7804000;64866000;242257400;182695600
500;7;4584100;62122300;252867600;184856700
500;8;4751200;64967000;255305000;182792100
500;9;7269500;64625000;230955900;205463400
1000;0;12926400;136596500;409871600;290158100
1000;1;12956000;131849700;471526800;291432800
1000;2;13285300;134389800;449918900;294211800
1000;3;8204300;135800800;405556000;320603800
1000;4;12347600;132520600;407690000;341593100
1000;5;13330000;131784000;419287100;325048000
1000;6;12747900;132981600;492207300;288348000
1000;7;8816500;136267600;418650000;334135900
1000;8;9055400;139538500;402148400;314638200
1000;9;12792600;133155300;453195900;298780000
5000;0;75492600;851823500;2685356400;1775462900
5000;1;75278300;753386100;3136127200;1991558300
5000;2;74527900;849118800;2784156300;1795954600
5000;3;74479800;887480000;2874038700;1784887900
5000;4;73744500;819616500;3016139000;1807518100
5000;5;84095300;769050200;2935476300;1904275900
5000;6;75267700;846026200;2840685800;1809765800
5000;7;72791200;888644700;2894031500;1801728500
5000;8;88890000;822984600;2827571700;1844562200
5000;9;79126400;850973700;3019702900;1840806900
10000;0;162490500;1813656600;7267931800;6665425500
10000;1;179354200;1886603900;7287655400;6509921700
10000;2;183273700;1835445100;7243864700;6374955400
10000;3;182380700;1720245900;7366029700;6729419600
10000;4;163895000;1799823200;7336696100;6366106100
10000;5;162236800;1818674300;7332357400;6516898500
10000;6;182451300;1787429600;7253652600;6503484700
10000;7;187273200;1880119700;7436808100;5942907600
10000;8;187090500;1781814500;7308087900;6105305800
10000;9;163368700;1838705700;7429046300;6291113800
