Size;Iteration;SyncATL
10;0;9889151365
10;1;10166347673
10;2;9879338462
10;3;9662398616
10;4;10246178209
10;5;9781568227
10;6;10042391903
10;7;9700582813
10;8;10515721506
10;9;9963549956
50;0;11407604242
50;1;11400652853
50;2;11553273048
50;3;11271102549
50;4;11312581388
50;5;11479022664
50;6;11078511042
50;7;11355601835
50;8;11545085912
50;9;11423325749
100;0;12988629069
100;1;12568650515
100;2;12878723461
100;3;12901860275
100;4;12844344624
100;5;12509720533
100;6;12737807147
100;7;12843299783
100;8;12496979189
100;9;12728866663
500;0;24978039818
500;1;24930994361
500;2;24790694695
500;3;25353411570
500;4;24917653213
500;5;24707788331
500;6;24924604190
500;7;24589397529
500;8;24878275963
500;9;24907782833
1000;0;32894421973
1000;1;33045684490
1000;2;33370498141
1000;3;32958165210
1000;4;33983860557
1000;5;33746812097
1000;6;33460611253
1000;7;33698534181
1000;8;32843009117
1000;9;33191561443
5000;0;139732336605
5000;1;140505331370
5000;2;140348938651
5000;3;139285280395
5000;4;140456228664
5000;5;140836564753
5000;6;140672968161
5000;7;140387396687
5000;8;139703311719
5000;9;140798371521
10000;0;388628033738
10000;1;392887005021
10000;2;391444048951
10000;3;402836747856
10000;4;389170692494
10000;5;393967974011
10000;6;399690008752
10000;7;391447257378
10000;8;418652032703
10000;9;390760083045
